add-none,2,100,200,97706,488,0
add-none,2,1000,2000,106768,53,-225
add-none,2,10000,20000,613127,30,-122
add-none,2,100000,200000,5040736,25,-29647
add-none,4,100,200,113587,567,124
add-none,4,1000,2000,167923,83,-456
add-none,4,10000,20000,1078299,53,1812
add-none,4,100000,200000,12328400,61,-47211
add-none,8,100,200,196486,982,0
add-none,8,1000,2000,328178,164,-231
add-none,8,10000,20000,2383259,119,-1646
add-none,8,100000,200000,22665666,113,-30870
add-none,12,100,200,286099,1430,0
add-none,12,1000,2000,387728,193,456
add-none,12,10000,20000,3637806,181,-467
add-none,12,100000,200000,34469766,172,-16472
add-yield,2,10,20,81473,4073,0
add-yield,4,10,20,99803,4990,11
add-yield,8,10,20,241595,12079,0
add-yield,12,10,20,306786,15339,11
add-yield,2,20,40,101218,2530,0
add-yield,4,20,40,128208,3205,13
add-yield,8,20,40,231880,5797,4
add-yield,12,20,40,337194,8429,9
add-yield,2,40,80,106714,1333,37
add-yield,4,40,80,117483,1468,83
add-yield,8,40,80,232418,2905,3
add-yield,12,40,80,328514,4106,89
add-yield,2,80,160,133771,836,-15
add-yield,4,80,160,173870,1086,35
add-yield,8,80,160,251264,1570,69
add-yield,12,80,160,343454,2146,-71
add-yield,2,100,200,138330,691,80
add-yield,4,100,200,182182,910,-103
add-yield,8,100,200,278987,1394,-53
add-yield,12,100,200,363142,1815,126
add-yield,2,1000,2000,668137,334,12
add-yield,4,1000,2000,847541,423,-57
add-yield,8,1000,2000,1433166,716,87
add-yield,12,1000,2000,2093218,1046,-99
add-yield,2,10000,20000,6159645,307,-127
add-yield,4,10000,20000,7785126,389,-372
add-yield,8,10000,20000,13573092,678,-1224
add-yield,12,10000,20000,19083328,954,-4360
add-yield,2,100000,200000,-940405124,-4702,-4944
add-yield,4,100000,200000,84714400,423,-4438
add-yield,8,100000,200000,129001538,645,-24228
add-yield,12,100000,200000,193111665,965,-58946
add-none,1,100,200,51361,256,0
add-none,1,1000,2000,62321,31,0
add-none,1,10000,20000,234340,11,0
add-none,1,100000,200000,1566023,7,0
add-none,1,1000000,2000000,14909383,7,0
add-none,2,100,200,81497,407,0
add-none,2,1000,2000,93718,46,-149
add-none,2,10000,20000,532949,26,463
add-none,2,100000,200000,4948339,24,-24211
add-none,2,1000000,2000000,51692295,25,-222673
add-none,4,100,200,132020,660,0
add-none,4,1000,2000,160320,80,340
add-none,4,10000,20000,1117099,55,-3853
add-none,4,100000,200000,11301690,56,-22947
add-none,4,1000000,2000000,108574182,54,-448438
add-yield,1,100,200,121127,605,0
add-yield,1,1000,2000,548550,274,0
add-yield,1,10000,20000,4898925,244,0
add-yield,1,100000,200000,48047580,240,0
add-yield,1,1000000,2000000,-521608962,-260,0
add-yield,2,100,200,139000,695,30
add-yield,2,1000,2000,802954,401,-40
add-yield,2,10000,20000,7217117,360,-75
add-yield,2,100000,200000,72077357,360,-2452
add-yield,2,1000000,2000000,-255089804,-127,-24742
add-yield,4,100,200,195291,976,57
add-yield,4,1000,2000,941944,470,88
add-yield,4,10000,20000,8547394,427,-580
add-yield,4,100000,200000,79287605,396,-4534
add-yield,4,1000000,2000000,-75832556,-37,-127122
add-yield-m,2,10000,20000,17960023,898,0
add-yield-m,4,10000,20000,161328126,8066,0
add-yield-m,8,10000,20000,372652779,18632,0
add-yield-m,12,10000,20000,-387311445,-19365,0
add-yield-c,2,10000,20000,12526714,626,0
add-yield-c,4,10000,20000,74387134,3719,0
add-yield-c,8,10000,20000,111958654,5597,0
add-yield-c,12,10000,20000,146049723,7302,0
add-yield-s,2,10000,20000,20928282,1046,0
add-yield-s,4,10000,20000,73695219,3684,0
add-yield-s,8,1000,2000,19413403,9706,0
add-yield-s,12,1000,2000,34599104,17299,0
add-m,1,10000,20000,686237,34,0
add-m,2,10000,20000,4656153,232,0
add-m,4,10000,20000,16669080,833,0
add-m,8,10000,20000,27870580,1393,0
add-m,12,10000,20000,56305128,2815,0
add-c,1,10000,20000,497300,24,0
add-c,2,10000,20000,1487638,74,0
add-c,4,10000,20000,6168316,308,0
add-c,8,10000,20000,14162796,708,0
add-c,12,10000,20000,29624834,1481,0
add-s,1,10000,20000,387738,19,0
add-s,2,10000,20000,4315984,215,0
add-s,4,10000,20000,14286248,714,0
add-s,8,10000,20000,62745630,3137,0
add-s,12,10000,20000,87006912,4350,0
